CustomerID,Age,Gender,SubscriptionType,MonthlyCharges,TenureMonths,SupportTickets,PaymentMethod,SatisfactionScore,UsageHoursPerWeek
1100,32,Female,Premium,3927,35,7,UPI,8,16
1101,62,Female,Basic,4128,1,10,Net Banking,3,34
1102,18,Female,Enterprise,3003,29,5,Credit Card,9,14
1103,42,Male,Basic,1309,51,0,Debit Card,8,26
1104,24,Female,Premium,2226,64,13,Debit Card,1,20
1105,26,Female,Premium,593,4,12,Credit Card,8,42
1106,41,Male,Premium,1043,28,12,Debit Card,4,24
1107,18,Female,Premium,1724,16,11,UPI,6,43
1108,61,Male,Basic,803,63,8,UPI,10,18
1109,25,Male,Basic,781,53,5,UPI,9,43
1110,41,Female,Premium,2139,17,11,UPI,5,9
1111,28,Male,Premium,332,40,12,Credit Card,7,19
1112,68,Female,Basic,3038,13,9,Debit Card,1,20
1113,34,Male,Premium,3585,52,0,Debit Card,9,42
1114,25,Male,Basic,3970,58,0,Net Banking,6,30
1115,52,Male,Premium,2468,37,7,Credit Card,4,26
1116,52,Female,Premium,1175,61,5,Debit Card,6,31
1117,50,Female,Basic,2013,34,7,Debit Card,5,35
1118,22,Male,Basic,3463,70,7,Net Banking,3,3
1119,59,Male,Premium,1743,17,14,UPI,7,40
1120,56,Female,Premium,3035,20,10,Debit Card,3,29
1121,58,Female,Premium,2938,59,13,UPI,2,6
1122,45,Male,Premium,1557,69,7,Net Banking,4,1
1123,24,Male,Premium,4334,33,9,Debit Card,7,24
1124,26,Female,Enterprise,1516,17,14,UPI,5,38
1125,25,Female,Premium,361,57,6,Credit Card,9,34
1126,29,Female,Basic,2109,1,6,UPI,10,7
1127,51,Female,Basic,1327,13,9,UPI,7,11
1128,50,Female,Basic,4070,27,3,UPI,9,11
1129,65,Male,Premium,1858,70,8,UPI,9,36
1130,40,Female,Basic,3325,59,11,Credit Card,2,20
1131,41,Male,Enterprise,2163,6,1,Net Banking,1,16
1132,54,Female,Premium,2489,23,10,UPI,4,5
1133,52,Male,Premium,1166,10,8,UPI,4,24
1134,61,Female,Basic,1089,51,9,Debit Card,2,30
1135,57,Female,Basic,3261,19,2,Debit Card,3,30
1136,39,Male,Basic,3829,51,13,Credit Card,3,39
1137,44,Male,Basic,3389,68,12,Credit Card,5,48
1138,52,Female,Basic,2948,42,14,Credit Card,1,47
1139,18,Female,Premium,1866,57,1,Debit Card,9,37
1140,52,Female,Enterprise,3266,68,12,UPI,8,33
1141,54,Female,Enterprise,1641,38,3,Debit Card,8,20
1142,64,Female,Premium,1267,62,4,Net Banking,3,22
1143,31,Male,Basic,4423,7,1,Credit Card,2,41
1144,20,Male,Enterprise,3123,71,12,Credit Card,1,21
1145,18,Female,Enterprise,4453,50,14,Credit Card,6,37
1146,22,Male,Basic,4056,52,0,Net Banking,10,27
1147,43,Male,Premium,1026,26,9,UPI,1,38
1148,31,Male,Basic,4807,26,10,UPI,5,35
1149,56,Female,Premium,4185,19,4,UPI,9,38
1150,44,Male,Enterprise,2292,9,8,Credit Card,9,40
1151,26,Female,Basic,3379,61,14,UPI,4,6
1152,32,Male,Enterprise,4738,20,11,Debit Card,7,32
1153,32,Female,Premium,4101,50,11,Credit Card,7,16
1154,43,Male,Enterprise,2562,22,14,Net Banking,4,28
1155,59,Female,Basic,2424,13,4,Net Banking,5,16
1156,30,Female,Premium,1926,12,11,UPI,9,27
1157,68,Male,Basic,2206,10,10,Credit Card,7,3
1158,49,Female,Basic,466,65,9,Debit Card,7,49
1159,56,Female,Basic,1037,30,8,Debit Card,10,21
1160,66,Female,Enterprise,4784,8,13,Credit Card,7,38
1161,69,Female,Premium,4997,21,12,UPI,9,38
1162,49,Female,Enterprise,886,22,11,Net Banking,5,30
1163,21,Female,Enterprise,3561,18,9,Net Banking,6,22
1164,47,Female,Basic,556,66,5,Debit Card,3,19
1165,54,Female,Basic,4015,48,2,Debit Card,1,31
1166,40,Male,Basic,1071,44,3,Debit Card,2,20
1167,56,Male,Basic,2173,9,3,Net Banking,8,47
1168,62,Female,Basic,4847,67,0,Debit Card,1,19
1169,32,Female,Basic,2010,54,2,Net Banking,10,2
1170,60,Male,Basic,4618,26,2,Net Banking,7,40
1171,46,Male,Basic,2841,26,12,UPI,5,39
1172,53,Male,Basic,2428,34,13,UPI,6,27
1173,30,Female,Basic,3591,8,0,UPI,8,8
1174,49,Male,Enterprise,4378,10,12,Debit Card,4,45
1175,24,Female,Premium,2550,48,8,Net Banking,6,27
1176,68,Female,Enterprise,4557,55,10,Debit Card,3,15
1177,39,Male,Basic,2939,54,0,Net Banking,7,12
1178,45,Female,Basic,2930,40,8,UPI,2,47
1179,19,Female,Premium,1518,15,0,UPI,8,14
1180,59,Female,Basic,1735,18,1,Debit Card,7,7
1181,62,Female,Basic,4984,23,1,Net Banking,8,17
1182,23,Male,Basic,2643,62,13,Debit Card,2,26
1183,45,Male,Basic,1972,46,5,Credit Card,3,37
1184,45,Female,Basic,3409,39,6,Debit Card,4,20
1185,61,Female,Basic,1077,15,10,UPI,9,10
1186,61,Male,Premium,3070,53,0,Net Banking,5,19
1187,37,Female,Basic,3400,64,2,Net Banking,6,18
1188,47,Male,Basic,4344,63,1,Debit Card,1,30
1189,28,Female,Premium,3947,16,7,UPI,4,30
1190,45,Female,Basic,3036,70,8,Credit Card,4,25
1191,42,Male,Basic,492,66,12,Debit Card,10,24
1192,56,Male,Enterprise,1851,13,1,Net Banking,8,10
1193,50,Male,Basic,4831,47,1,UPI,8,2
1194,18,Male,Basic,4606,9,9,Net Banking,10,38
1195,44,Female,Basic,736,63,14,Net Banking,6,32
1196,69,Male,Basic,2886,34,8,Net Banking,8,35
1197,30,Female,Premium,433,29,13,Net Banking,9,37
1198,58,Male,Premium,2852,37,3,Credit Card,5,7
1199,20,Male,Basic,2574,43,4,UPI,1,7
1200,56,Female,Premium,2472,64,12,Debit Card,1,27
1201,23,Male,Premium,1166,24,10,UPI,2,10
1202,25,Male,Basic,1089,71,8,UPI,2,33
1203,44,Male,Premium,4063,34,5,UPI,5,43
1204,26,Male,Basic,3600,48,9,Debit Card,7,7
1205,54,Female,Basic,234,12,11,UPI,7,6
1206,50,Female,Basic,4742,23,8,Debit Card,4,6
1207,68,Male,Basic,3723,13,8,Debit Card,4,13
1208,59,Male,Basic,1963,45,6,Credit Card,10,48
1209,61,Male,Premium,3491,65,13,Net Banking,3,13
1210,41,Female,Basic,2688,47,11,Debit Card,2,2
1211,32,Female,Basic,2900,58,9,Net Banking,3,19
1212,49,Female,Basic,1758,5,8,UPI,8,19
1213,49,Female,Premium,4890,5,4,Net Banking,1,38
1214,41,Male,Premium,2476,60,4,Net Banking,4,2
1215,58,Male,Premium,4206,21,11,Net Banking,7,26
1216,69,Male,Premium,4639,24,7,UPI,5,6
1217,66,Female,Enterprise,1303,18,9,UPI,2,20
1218,66,Male,Basic,1619,21,3,Debit Card,1,23
1219,69,Female,Premium,1678,54,8,Debit Card,6,15
1220,29,Female,Premium,4114,10,6,Credit Card,5,6
1221,56,Male,Enterprise,3942,24,6,UPI,3,28
1222,19,Male,Enterprise,3156,60,12,Credit Card,9,35
1223,20,Male,Basic,1582,57,14,UPI,3,11
1224,66,Female,Basic,2774,23,2,Net Banking,2,8
1225,54,Female,Basic,3584,22,3,Credit Card,5,49
1226,66,Male,Premium,1769,68,6,Credit Card,9,24
1227,34,Male,Basic,2094,34,10,Credit Card,8,21
1228,66,Female,Basic,2443,70,10,UPI,6,49
1229,19,Male,Premium,2066,28,13,Debit Card,3,36
1230,19,Female,Basic,228,39,4,Credit Card,6,7
1231,45,Female,Enterprise,905,42,11,Debit Card,5,5
1232,40,Male,Basic,1220,23,2,UPI,1,29
1233,54,Male,Basic,2263,70,0,Credit Card,5,16
1234,49,Male,Basic,1646,2,6,UPI,7,6
1235,50,Male,Premium,3864,24,5,Debit Card,9,14
1236,18,Female,Basic,3187,17,9,Debit Card,1,2
1237,36,Female,Basic,3802,65,14,Credit Card,3,25
1238,19,Female,Enterprise,3885,70,6,Debit Card,8,31
1239,61,Male,Basic,3568,69,14,Net Banking,6,13
1240,43,Female,Premium,3781,60,13,Net Banking,5,18
1241,49,Male,Premium,2962,50,1,Credit Card,10,17
1242,23,Male,Basic,4237,12,12,UPI,2,45
1243,49,Male,Premium,772,47,11,UPI,3,28
1244,21,Male,Basic,4288,67,3,UPI,2,12
1245,28,Male,Premium,814,65,1,Net Banking,1,35
1246,34,Male,Basic,4250,27,7,Debit Card,7,22
1247,55,Female,Premium,525,48,6,Net Banking,3,39
1248,41,Male,Basic,3940,62,0,Debit Card,7,1
1249,22,Female,Premium,558,44,1,Net Banking,7,37
1250,69,Female,Basic,3977,19,1,UPI,8,21
1251,51,Male,Basic,2571,59,3,UPI,1,1
1252,23,Male,Basic,1921,8,2,UPI,5,4
1253,39,Male,Basic,1549,55,0,Credit Card,10,32
1254,28,Female,Premium,3896,47,11,Credit Card,9,1
1255,65,Male,Basic,4096,2,13,Debit Card,7,13
1256,33,Female,Enterprise,4460,39,1,Credit Card,1,46
1257,50,Male,Enterprise,1796,45,10,Net Banking,8,47
1258,26,Male,Premium,1827,32,8,Net Banking,3,17
1259,23,Female,Basic,2702,65,12,Debit Card,4,12
1260,33,Female,Basic,4008,38,0,Debit Card,4,7
1261,46,Male,Premium,392,11,8,UPI,10,3
1262,20,Female,Basic,2874,10,6,Credit Card,8,26
1263,37,Female,Basic,4045,59,1,UPI,1,31
1264,53,Female,Premium,2777,55,1,Credit Card,8,36
1265,36,Female,Premium,291,20,4,Credit Card,9,26
1266,43,Female,Premium,4434,17,12,Debit Card,9,3
1267,20,Male,Basic,680,68,4,UPI,5,44
1268,36,Male,Premium,3116,5,3,UPI,4,28
1269,37,Female,Basic,4635,60,11,Credit Card,4,44
1270,49,Male,Basic,1275,23,9,Credit Card,9,17
1271,24,Male,Enterprise,2713,46,9,Debit Card,8,38
1272,69,Female,Basic,998,52,12,Net Banking,10,47
1273,58,Male,Basic,4770,10,11,UPI,10,30
1274,50,Female,Basic,4149,46,2,UPI,7,2
1275,57,Female,Enterprise,804,28,3,Debit Card,3,8
1276,56,Male,Premium,3179,43,9,Debit Card,4,14
1277,35,Female,Premium,797,26,3,UPI,9,37
1278,57,Female,Premium,1732,55,1,UPI,8,35
1279,18,Female,Basic,713,48,4,Credit Card,1,42
1280,28,Female,Basic,2077,29,14,Net Banking,3,39
1281,45,Female,Basic,4172,27,4,UPI,10,11
1282,42,Male,Basic,4043,18,4,Debit Card,2,15
1283,67,Male,Basic,1899,60,10,Credit Card,2,2
1284,40,Female,Enterprise,1229,69,14,Credit Card,8,37
1285,48,Female,Basic,4795,21,10,Debit Card,6,43
1286,47,Male,Basic,916,24,9,Debit Card,6,32
1287,59,Female,Basic,4286,3,0,Credit Card,4,40
1288,52,Male,Basic,865,62,5,Debit Card,1,13
1289,24,Female,Enterprise,2408,2,10,Credit Card,7,43
1290,33,Female,Basic,1279,66,1,Debit Card,8,17
1291,43,Female,Basic,427,42,6,Credit Card,2,15
1292,65,Female,Premium,348,34,3,UPI,2,33
1293,69,Female,Basic,1269,42,14,UPI,1,16
1294,66,Female,Basic,4927,20,4,Debit Card,4,13
1295,19,Female,Basic,1563,68,4,Net Banking,6,22
1296,18,Male,Premium,4708,45,4,UPI,5,23
1297,65,Male,Enterprise,1955,42,1,Credit Card,4,36
1298,29,Male,Premium,719,47,4,Net Banking,4,43
1299,22,Female,Basic,3744,5,2,Credit Card,10,10
1300,54,Female,Premium,2522,49,3,Credit Card,7,17
1301,49,Female,Basic,1302,37,12,UPI,7,30
1302,26,Female,Basic,797,34,1,Debit Card,2,13
1303,58,Female,Basic,3473,70,3,Debit Card,7,30
1304,52,Female,Basic,4249,18,12,Credit Card,2,46
1305,36,Female,Premium,2805,19,8,UPI,4,30
1306,65,Male,Premium,2388,40,7,Credit Card,1,7
1307,33,Female,Enterprise,788,17,12,Net Banking,5,10
1308,20,Male,Premium,4672,60,13,Credit Card,1,35
1309,37,Male,Premium,1607,42,14,UPI,4,2
1310,41,Female,Basic,4922,65,10,Credit Card,9,30
1311,50,Female,Basic,3590,53,11,UPI,8,19
1312,41,Male,Premium,3640,7,2,Debit Card,6,39
1313,69,Male,Basic,1829,5,0,UPI,8,37
1314,28,Female,Premium,1194,24,0,Net Banking,5,3
1315,66,Female,Basic,4998,28,5,UPI,7,25
1316,25,Male,Basic,2259,62,2,Net Banking,8,34
1317,53,Female,Basic,4772,17,3,Net Banking,7,22
1318,55,Female,Basic,3186,20,0,Credit Card,4,38
1319,57,Female,Basic,600,3,7,Net Banking,5,14
1320,37,Male,Premium,3055,37,0,UPI,10,39
1321,52,Male,Basic,2424,15,4,Debit Card,6,2
1322,65,Male,Premium,3612,51,5,UPI,6,32
1323,42,Female,Basic,256,48,14,Debit Card,9,43
1324,52,Female,Basic,2075,8,1,Net Banking,10,3
1325,42,Male,Basic,4743,13,6,Credit Card,2,41
1326,46,Male,Premium,4498,48,6,Net Banking,6,8
1327,35,Male,Basic,3968,3,0,Net Banking,3,26
1328,63,Female,Premium,4497,65,3,Debit Card,2,32
1329,35,Male,Basic,1553,31,11,UPI,6,11
1330,19,Male,Premium,2610,26,12,Credit Card,4,1
1331,52,Female,Basic,4511,56,3,Credit Card,5,15
1332,33,Female,Premium,2802,34,4,Credit Card,5,4
1333,58,Female,Premium,3134,9,0,Credit Card,3,4
1334,53,Male,Enterprise,222,62,0,UPI,4,28
1335,50,Female,Basic,2402,13,6,Credit Card,3,10
1336,21,Female,Basic,1409,69,8,Debit Card,7,11
1337,50,Male,Basic,2496,41,0,Debit Card,1,23
1338,31,Female,Premium,948,1,1,Credit Card,6,47
1339,38,Male,Premium,1004,47,5,Credit Card,4,3
1340,65,Male,Premium,333,4,14,UPI,1,39
1341,37,Female,Basic,4616,63,14,UPI,1,39
1342,25,Female,Basic,2637,52,5,Credit Card,5,17
1343,24,Female,Basic,633,10,1,UPI,5,22
1344,20,Female,Enterprise,3871,28,8,Net Banking,10,27
1345,34,Female,Premium,3936,6,3,Credit Card,7,16
1346,50,Female,Enterprise,4239,27,12,UPI,4,16
1347,65,Male,Basic,2298,12,6,Debit Card,9,40
1348,29,Male,Premium,3117,62,5,Credit Card,4,3
1349,68,Female,Premium,452,52,10,Credit Card,7,47
1350,39,Male,Basic,1329,48,12,Debit Card,5,33
1351,39,Female,Premium,3464,67,10,Debit Card,5,42
1352,63,Male,Enterprise,501,46,2,UPI,6,2
1353,47,Male,Enterprise,2177,15,7,Debit Card,8,39
1354,55,Male,Premium,2963,71,6,Net Banking,5,46
1355,55,Female,Basic,4205,36,8,Credit Card,3,48
1356,62,Male,Basic,3441,14,2,Net Banking,6,27
1357,68,Female,Enterprise,3257,3,0,UPI,2,15
1358,25,Male,Basic,750,67,1,Debit Card,8,7
1359,44,Male,Premium,1787,19,11,Credit Card,8,45
1360,44,Male,Premium,2022,54,10,Debit Card,3,42
1361,51,Male,Premium,3417,69,14,Debit Card,8,9
1362,38,Male,Enterprise,3696,10,11,UPI,9,41
1363,47,Female,Basic,4609,33,0,UPI,5,6
1364,50,Female,Basic,4479,13,10,UPI,5,12
1365,45,Male,Basic,912,51,4,UPI,6,30
1366,64,Male,Basic,2375,32,14,Credit Card,7,20
1367,50,Male,Basic,4272,24,9,Net Banking,3,20
1368,22,Male,Basic,4049,35,13,Net Banking,5,46
1369,65,Female,Premium,2633,70,1,Credit Card,1,27
1370,36,Male,Enterprise,3501,40,2,Debit Card,10,20
1371,21,Female,Basic,470,54,7,Credit Card,5,7
1372,52,Male,Basic,1994,44,14,Net Banking,4,40
1373,66,Female,Enterprise,2662,62,9,Net Banking,1,40
1374,34,Male,Basic,4493,68,13,Credit Card,7,30
1375,61,Male,Basic,3594,33,4,UPI,1,8
1376,45,Female,Basic,1279,56,3,Debit Card,8,2
1377,47,Male,Premium,3078,36,4,Credit Card,10,14
1378,46,Male,Basic,4923,54,9,Net Banking,2,10
1379,63,Male,Enterprise,803,19,5,UPI,10,18
1380,23,Female,Basic,1785,43,11,Debit Card,5,18
1381,52,Male,Premium,3257,12,6,Net Banking,6,16
1382,58,Male,Basic,4185,11,13,Debit Card,9,5
1383,54,Female,Basic,4889,70,12,UPI,7,31
1384,41,Female,Premium,1595,12,8,Net Banking,6,37
1385,46,Female,Premium,3888,41,0,UPI,5,20
1386,66,Male,Premium,799,25,3,Credit Card,6,23
1387,63,Male,Premium,713,3,11,Credit Card,4,32
1388,48,Male,Enterprise,1266,3,11,Debit Card,1,42
1389,52,Female,Premium,3086,28,8,UPI,9,17
1390,50,Male,Premium,2853,23,4,UPI,5,13
1391,69,Male,Basic,1288,48,7,Debit Card,8,49
1392,38,Female,Basic,4585,67,11,Debit Card,7,13
1393,49,Female,Basic,2714,42,0,Debit Card,8,17
1394,40,Female,Premium,4169,40,3,Credit Card,1,15
1395,50,Female,Basic,3484,6,11,Debit Card,9,26
1396,20,Female,Basic,4766,20,13,Credit Card,1,44
1397,35,Male,Enterprise,2396,11,11,Debit Card,3,28
1398,42,Female,Enterprise,4383,27,8,UPI,8,42
1399,59,Male,Enterprise,989,21,12,UPI,1,45
1400,48,Male,Basic,3675,13,0,Debit Card,1,30
1401,20,Female,Premium,3353,35,0,Debit Card,6,43
1402,57,Female,Basic,1864,47,3,Credit Card,5,35
1403,63,Female,Basic,1509,28,13,Net Banking,6,22
1404,41,Male,Basic,1064,21,2,Credit Card,3,10
1405,67,Female,Basic,4063,18,6,UPI,10,11
1406,49,Female,Basic,3563,31,10,Debit Card,10,38
1407,64,Female,Premium,3724,60,2,UPI,6,33
1408,39,Female,Basic,3986,37,0,Net Banking,2,6
1409,40,Female,Premium,223,21,11,Credit Card,8,37
1410,19,Male,Premium,3203,14,14,UPI,6,7
1411,44,Male,Basic,510,60,10,Credit Card,4,44
1412,59,Male,Basic,1431,23,9,Debit Card,4,12
1413,19,Female,Basic,3988,29,1,UPI,7,7
1414,43,Female,Premium,2911,47,9,Net Banking,3,2
1415,34,Female,Basic,621,30,12,Credit Card,3,1
1416,57,Male,Basic,1973,38,3,Credit Card,6,23
1417,50,Female,Basic,3768,27,0,Net Banking,9,25
1418,26,Female,Premium,1146,15,0,UPI,1,18
1419,60,Female,Enterprise,1386,59,11,UPI,5,44
1420,65,Male,Basic,2034,3,13,Credit Card,1,7
1421,56,Female,Premium,1764,10,7,Net Banking,1,3
1422,46,Male,Premium,2147,17,6,Credit Card,3,29
1423,59,Female,Enterprise,1508,11,13,Credit Card,3,10
1424,43,Male,Premium,3186,48,7,Debit Card,4,43
1425,52,Male,Premium,586,5,12,UPI,3,5
1426,67,Male,Premium,1361,69,3,UPI,6,34
1427,42,Female,Enterprise,3458,64,5,Debit Card,4,8
1428,41,Female,Basic,4133,14,14,UPI,8,14
1429,30,Male,Basic,3047,50,12,UPI,1,40
1430,24,Male,Basic,4721,26,2,UPI,8,6
1431,53,Female,Premium,1639,69,10,Net Banking,1,1
1432,62,Female,Premium,3642,7,12,Debit Card,1,33
1433,37,Male,Basic,4680,16,7,Credit Card,7,40
1434,18,Female,Premium,255,55,3,Net Banking,1,11
1435,25,Female,Basic,3524,56,2,Credit Card,9,24
1436,63,Female,Basic,305,4,3,Debit Card,8,10
1437,33,Female,Enterprise,3401,48,5,Debit Card,1,44
1438,31,Male,Basic,869,17,10,Debit Card,2,23
1439,29,Female,Basic,4671,36,6,UPI,2,16
1440,68,Female,Premium,942,70,6,Net Banking,2,37
1441,40,Male,Premium,1166,38,13,Debit Card,6,16
1442,32,Male,Basic,507,62,14,Credit Card,4,44
1443,45,Female,Premium,2338,48,11,UPI,8,31
1444,51,Female,Premium,3664,10,3,UPI,1,6
1445,19,Female,Basic,309,36,7,Net Banking,10,30
1446,49,Female,Basic,3832,29,6,Net Banking,4,37
1447,40,Male,Premium,4635,4,1,Net Banking,10,1
1448,39,Male,Basic,2115,44,12,UPI,5,42
1449,68,Male,Enterprise,4463,56,7,Debit Card,9,25
1450,42,Female,Premium,756,42,8,Credit Card,5,46
1451,39,Female,Enterprise,304,13,4,Debit Card,3,21
1452,39,Female,Basic,2247,46,14,Credit Card,4,35
1453,66,Female,Enterprise,345,33,3,Debit Card,10,38
1454,69,Male,Basic,2963,21,3,Net Banking,7,5
1455,59,Male,Basic,1073,57,12,Credit Card,1,49
1456,23,Female,Basic,498,69,3,UPI,6,12
1457,32,Male,Basic,3438,70,5,Credit Card,8,5
1458,60,Female,Premium,845,67,10,UPI,1,9
1459,54,Female,Basic,4933,48,3,Debit Card,8,44
1460,50,Male,Basic,3278,33,6,Net Banking,7,9
1461,25,Female,Premium,2711,36,6,Credit Card,1,35
1462,61,Female,Basic,983,33,4,UPI,9,1
1463,61,Male,Premium,570,31,12,Debit Card,3,47
1464,22,Female,Basic,686,21,4,Net Banking,2,10
1465,56,Female,Premium,2237,27,14,Net Banking,7,46
1466,21,Male,Premium,3396,62,9,Net Banking,3,39
1467,23,Female,Basic,1560,26,7,Debit Card,1,36
1468,62,Male,Basic,4487,66,6,Debit Card,10,37
1469,49,Female,Basic,2461,12,13,Debit Card,3,48
1470,69,Male,Premium,2821,22,6,Net Banking,6,35
1471,47,Male,Basic,1156,17,5,Credit Card,3,17
1472,64,Male,Basic,580,7,6,UPI,5,13
1473,52,Female,Basic,3849,68,6,Debit Card,9,6
1474,57,Male,Basic,438,37,9,Credit Card,7,37
1475,69,Male,Basic,1305,38,13,UPI,2,48
1476,33,Male,Premium,1586,11,1,Net Banking,1,32
1477,30,Male,Basic,2752,1,13,Credit Card,7,11
1478,67,Male,Basic,2449,25,9,Net Banking,4,17
1479,59,Female,Premium,1727,42,1,UPI,7,5
1480,47,Female,Premium,1867,52,13,Debit Card,6,6
1481,36,Female,Basic,4332,24,9,Net Banking,7,10
1482,34,Female,Basic,2891,53,6,Credit Card,4,33
1483,36,Female,Basic,3872,56,13,Debit Card,3,30
1484,45,Female,Enterprise,2196,63,9,Credit Card,5,21
1485,43,Female,Basic,1625,8,6,UPI,3,42
